created_at,tweet
Thu Feb 09 00:26:51 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:21:58 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:21:18 +0000 2023,RT @marcelvanhattem: Vitória de Pacheco no Senado é derrota do Brasil. A manobra para impedir senadores de abrirem seus votos é um golpe na…
Thu Feb 09 00:20:46 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 00:14:29 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 00:13:48 +0000 2023,"A derrota do flamengo me abalou mais que a derrota do Brasil

Eu literalmente saí do trabalho, liguei a playlist de… https://t.co/wZF9Ry8udb"
Thu Feb 09 00:11:54 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:11:30 +0000 2023,@TNTSportsBR @HBOMaxBR @TNTbr Falou o cara que eliminou o Brasil na copa do mundo
Thu Feb 09 00:10:25 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 00:09:06 +0000 2023,"poderia ter sido sincero e não errado o pênalti que eliminou o Brasil na copa, mascaradinho https://t.co/EDXgoBrApY"
Thu Feb 09 00:08:52 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:08:48 +0000 2023,"esse @RodrygoGoes é um comédia, sombra do flamenguista vini jr e culpado pela eliminação do brasil na copa"
Thu Feb 09 00:08:29 +0000 2023,"@RodrygoGoes QUE E VC??? Vc eliminou o Brasil na copa
Vc não consegue ser titular num dos piores real madris do séc… https://t.co/01mFDPu65y"
Thu Feb 09 00:05:48 +0000 2023,"guarani tá igual o brasil na copa, a última vez que ganharam algo eu nem era viva"
Thu Feb 09 00:05:09 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:04:30 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:00:30 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:00:18 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Wed Feb 08 23:59:58 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Wed Feb 08 23:59:58 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Wed Feb 08 23:59:32 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:55:58 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Wed Feb 08 23:55:27 +0000 2023,@wmblayde22 o cara que eliminou o Brasil na copa kkk
Wed Feb 08 23:52:22 +0000 2023,"E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecim… https://t.co/dAwNdjFITI"
Wed Feb 08 23:48:14 +0000 2023,@delaurentiis_br E tinha gente defendendo esses merdas depois da vergonha na copa! Esse merda aí ainda vai pagar mto caro!!!
Wed Feb 08 23:48:04 +0000 2023,@TNTSportsBR Falou o cara que pipocou num pênalti e eliminou o Brasil na copa do mundo.
Wed Feb 08 23:44:32 +0000 2023,"@RodrygoGoes Poderia ter feito o gol de pênalti pelo Brasil na copa, e te garanto que a gente também chegaria a final. babaca."
Wed Feb 08 23:42:38 +0000 2023,"Não tem credibilidade para falar do Flamengo, responsável pela eliminação do Brasil na Copa do Qatar, perdeu pênalt… https://t.co/romxEl4nk4"
Wed Feb 08 23:42:05 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
